game_id,team_id,player_id,side_id,opp_team_id,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-victoria,0,burritos,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,-1,-13,1293,-4,-6,-6,6,1
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-basel,0,burritos,5,2,7,28.6,1,6,16.7,1,1,100.0,0,0,0,1,1,2,1,4,0,0,0,1,1,0,2,0,2,0,-22,1881,-6,-6,-8,11,3
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-jayd,0,burritos,2,1,11,9.1,1,6,16.7,0,5,0,0,0,0,0,4,4,4,2,2,0,1,1,1,0,0,0,0,-2,-17,1581,-3,-2,-6,9,3
20191031-1930-greenmachine-burritos,greenmachine,saturdays-jo,0,burritos,2,1,4,25.0,1,1,100.0,0,3,0,0,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,-10,1650,-3,-5,-5,7,4
20191031-1930-greenmachine-burritos,burritos,burritos-alex,1,greenmachine,14,7,13,53.8,7,11,63.6,0,2,0,0,0,0,5,4,9,1,2,4,1,0,1,1,0,1,0,1,21,18,1470,3,5,6,-9,-1
20191031-1930-greenmachine-burritos,burritos,burritos-allen,1,greenmachine,0,0,4,0,0,2,0,0,2,0,0,0,0,2,3,5,0,1,1,0,0,1,0,1,0,0,0,0,10,623,-3,1,5,-8,0
20191031-1930-greenmachine-burritos,burritos,burritos-stuart,1,greenmachine,4,1,10,10.0,1,3,33.3,0,7,0,2,3,66.7,1,6,7,2,1,3,1,1,0,0,0,2,2,0,7,9,1282,2,4,6,-9,-4
20191031-1930-greenmachine-burritos,burritos,burritos-suzi,1,greenmachine,4,2,5,40.0,2,4,50.0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,8,1033,3,2,5,-8,-1
20191031-1930-greenmachine-burritos,burritos,burritos-sylwia,1,greenmachine,4,2,6,33.3,2,6,33.3,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,4,18,1741,2,6,8,-10,-2
20191031-1930-greenmachine-burritos,burritos,burritos-tom,1,greenmachine,0,0,2,0,0,1,0,0,1,0,0,0,0,2,6,8,3,3,2,0,0,0,0,0,0,0,0,8,13,1193,3,3,6,-4,0
20191031-1930-greenmachine-burritos,burritos,dropbears-mary,1,greenmachine,7,2,8,25.0,0,4,0,2,4,50.0,1,2,50.0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,14,1306,3,4,5,-4,-3
20191031-1930-greenmachine-burritos,burritos,burritos-wouter,1,greenmachine,14,5,6,83.3,5,5,100.0,0,1,0,4,8,50.0,1,3,4,3,3,2,2,0,1,1,0,4,4,0,20,10,1550,7,5,4,-3,-4
20191031-2015-lostangels-northlondonlions,lostangels,lostangels-carlos,0,northlondonlions,13,5,11,45.5,5,11,45.5,0,0,0,3,9,33.3,4,8,12,2,6,1,1,2,1,1,0,7,5,2,15,-4,2040,7,6,1,0,1
20191031-2015-lostangels-northlondonlions,lostangels,lostangels-carlotta,0,northlondonlions,22,11,17,64.7,11,17,64.7,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,1,0,0,0,21,-4,2040,7,6,1,0,1
